accidentindicator	address_id	agencyid	fineamt	location	objectid	penalty1	penalty2	row_	streetsegid	ticketissuedate	tickettype	totalpaid	violationcode	violationdesc	xcoord	y	ycoord	filename	﻿x
False	800001.0	25.0	125.0	1900 BLK SOUTHERN AVENUE SE (NE/B)	4023850			2499102	2.0	2012-08-21T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	402044.42	38.8406090119	130311.86	Moving_Violations_in_August_2012.csv	-76.9764534128
False	303037.0	25.0		100 BLK IRVING ST NW W/B	3224197			3410116	6350.0	2015-01-14T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398820.99	38.9286457472	140084.44	Moving_Violations_in_January_2015.csv	-77.013599603
False	805065.0	25.0	150.0	2200 BLK K ST NW W/B	1713847			3800074	4361.0	2015-07-14T00:00:00.000Z	Photo	150.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_July_2015.csv	-77.0499797097
False	288753.0	25.0	150.0	600 BLK NEW YORK AVENUE NE W/B	1256387	150.0		2302820	14658.0	2012-07-01T00:00:00.000Z	Photo	0.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	400381.05	38.9123322866	138273.43	Moving_Violations_in_July_2012.csv	-76.995608706
False		25.0	50.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	2898273	50.0		302745	14746.0	2009-05-23T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_May_2009.csv	-76.994976553
False		25.0	50.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	1742539	50.0		722266	14746.0	2009-11-21T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_November_2009.csv	-76.994976553
False		25.0	100.0	DC295 SW .3 MILES S/O EXIT 1 N/B	2797744			4314087	14688.0	2015-10-30T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398502.31	38.8206668992	128098.0299	Moving_Violations_in_October_2015.csv	-77.0172487613
False	300368.0	25.0	100.0	2800 BLK NEW YORK AVE NE E/B	407822	100.0		3655409		2015-05-23T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	402915.72	38.9176546129	138864.78	Moving_Violations_in_May_2015.csv	-76.9663809737
False	804735.0	25.0	50.0	5400 BLK 16TH STREET NW S/B	3294570	50.0		956525	4083.0	2010-04-05T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	396844.36	38.9543810691	142941.83	Moving_Violations_in_April_2010.csv	-77.0364088759
False	902718.0	5.0	50.0	RHODE ISLAND AVE NE @ 20TH ST NE	2347963			3269034	2100.0	2014-09-11T00:00:00.000Z	Moving	50.0	T713	SEAT BELT REGULATION VIOLATION	402061.788224	38.9290405607	140128.448255	Moving_Violations_in_September_2014.csv	-76.9762239077
False	804036.0	25.0	75.0	N. CAPITOL NE @ RIGGS RD.	95306	75.0		370905	3428.0	2009-06-24T00:00:00.000Z	Photo	0.0	T113	FAIL TO STOP PER REGULATIONS FACING RED SIGNAL	399215.9105	38.9548231094	142990.31	Moving_Violations_in_June_2009.csv	-77.009048376
	279977.0			0900 17TH ST NW BLOCK WEST SIDE	6090071			8867875	3510.0	2014-07-30T00:00:00.000Z			P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	396545.0	38.9016107771	137084.0	Moving_Violations_in_July_2014.csv	-77.0398330986
False	146162.0	25.0	50.0	100 BLK MICHIGAN AVE NE W/B	3541027			56953	2623.0	2009-01-26T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	399463.27	38.9274435844	139950.92	Moving_Violations_in_January_2009.csv	-77.0061921948
False		25.0	50.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	3373947			669493	14746.0	2009-10-28T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_October_2009.csv	-76.994976553
False	146162.0	25.0	50.0	100 BLK MICHIGAN AVE NE W/B	220813	50.0		293365	2623.0	2009-05-19T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	399463.27	38.9274435844	139950.92	Moving_Violations_in_May_2009.csv	-77.0061921948
False		25.0	50.0	DC295 SE .75 MI S/O PA AVE SE NE/B	1488369	50.0		24291	14707.0	2009-01-09T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401399.072	38.8709707008	133682.0844	Moving_Violations_in_January_2009.csv	-76.9838800675
False		25.0	50.0	SE/SW FRWY @ 8TH ST EXIT SE (W/B)	781832	50.0		997130	14746.0	2010-04-22T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400363.075	38.8789765637	134570.6801	Moving_Violations_in_April_2010.csv	-76.995817916
False	303598.0	25.0	125.0	3500 BLK M.L. KING JR. AVE. SE NE/B	1498274	125.0		1463090	1092.0	2010-11-22T00:00:00.000Z	Photo	250.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	399675.91	38.8399118204	130234.21	Moving_Violations_in_November_2010.csv	-77.0037353082
False		25.0	250.0	DC295 NE .1 MILE SOUTH OF EASTERN A	3451127			1341156	1253.0	2010-09-20T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	405649.1478	38.9110603807	138134.2439	Moving_Violations_in_September_2010.csv	-76.9348677012
False	286707.0	25.0	100.0	2200 BLK SOUTH DAKOTA AVE NE SE/B	3786884	100.0		2804067	9851.0	2012-11-19T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403599.77	38.9200200968	139127.65	Moving_Violations_in_November_2012.csv	-76.9584917822
False	813951.0	25.0	100.0	3700 BLK MASSACHUSETTS AVE SE SE/B	1284149	100.0		2845738	12021.0	2012-12-03T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	404220.2	38.8739779324	134016.91	Moving_Violations_in_December_2012.csv	-76.9513687313
False	800500.0	25.0	50.0	600 BLK FLORIDA AVE NE NW/B	1410181			89777	423.0	2009-02-13T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400197.9	38.9059694823	137567.1	Moving_Violations_in_February_2009.csv	-76.9977206631
False		25.0	125.0	I-295 AT EXIT 2 SE N/B	710463			1463615	14693.0	2010-11-22T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	399373.44	38.8451703386	130817.96	Moving_Violations_in_November_2010.csv	-77.0072198386
False	256413.0	25.0	125.0	7700 BLK 16TH ST NW N/B	3113091	125.0		2733453	13203.0	2012-10-22T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	396815.48	38.9834042588	146163.69	Moving_Violations_in_October_2012.csv	-77.0367570316
False	805065.0	25.0	100.0	2200 BLOCK K ST NW EB	2305417			3558007	4361.0	2015-04-11T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_April_2015.csv	-77.0499797097
False		25.0	100.0	DC295 SW .7 MILES S/O EXIT 1 S/B	618177			3405549	6993.0	2015-01-11T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_January_2015.csv	-77.018353403
False	905371.0	2.0	100.0	FESSENDEN ST AT 39TH ST NW	630685	100.0		2764558	498.0	2012-11-05T00:00:00.000Z	Moving	200.0	T112	DISOBEY TRAFFIC CONTROL DEVICE	393313.279992	38.9547060308	142980.100002	Moving_Violations_in_November_2012.csv	-77.0771472716
False	287175.0	25.0	100.0	2700 BLK NEW YORK AVE NE (W/B)	3067397	100.0		543298		2009-09-03T00:00:00.000Z	Photo	0.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	402549.67	38.9179846451	138901.29	Moving_Violations_in_September_2009.csv	-76.9706017784
False		25.0	100.0	3RD ST TUNNEL NW N/B AT MA AVE EXIT	4005316			2955762	6364.0	2014-02-22T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398782.5209	38.895624628	136418.8295	Moving_Violations_in_February_2014.csv	-77.0140367592
False		25.0	125.0	DC295 SW .7 MILES S/O EXIT 1 S/B	3875504			1754129	6993.0	2011-12-27T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_December_2011.csv	-77.018353403
False	902787.0	25.0	100.0	PENNSYLVANIA AVE SE/B @ 27TH ST SE	636650			3450669	888.0	2015-02-06T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	402692.790016	38.8727884305	133884.199994	Moving_Violations_in_February_2015.csv	-76.9689711097
False		25.0	125.0	DC295 NE .1 MILE SOUTH OF EASTERN A	3568646	125.0		1299795	1253.0	2010-08-31T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	405649.1478	38.9110603807	138134.2439	Moving_Violations_in_August_2010.csv	-76.9348677012
False		25.0	200.0	3RD ST TUNNEL NW S/B BY 3RD ST (WZ)	411426			3952582	5435.0	2015-09-07T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398764.77	38.8920467534	136021.66	Moving_Violations_in_September_2015.csv	-77.0142406682
False	30648.0	25.0	50.0	3800 BLK EASTERN AVENUE NE (SE/B)	167216			333982	10106.0	2009-06-06T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	402987.14	38.9365898508	140966.78	Moving_Violations_in_June_2009.csv	-76.9655482794
False	286707.0	25.0	100.0	2200 BLK SOUTH DAKOTA AVE NE SE/B	2619919	100.0		3291441	9851.0	2014-10-03T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403599.77	38.9200200968	139127.65	Moving_Violations_in_October_2014.csv	-76.9584917822
False		25.0	50.0	3RD ST TUNNEL NW N/B AT MA AVE EXIT	4082432	50.0		374611	6364.0	2009-06-25T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398782.5209	38.895624628	136418.8295	Moving_Violations_in_June_2009.csv	-77.0140367592
False		25.0	100.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	679498	100.0		81482	14746.0	2009-02-08T00:00:00.000Z	Photo	100.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_February_2009.csv	-76.994976553
False	800638.0	25.0	125.0	1900 BLK BRANCH AVE SE N/B	3276809	125.0		2085635	675.0	2012-04-12T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403477.897953	38.8668720932	133227.748409	Moving_Violations_in_April_2012.csv	-76.9599270048
False	807916.0	25.0	150.0	NORTH CAPITOL N/B @ HAREWOOD NE	1785999	150.0		1321642	6783.0	2010-09-11T00:00:00.000Z	Photo	300.0	T113	FAIL TO STOP PER REGULATIONS FACING RED SIGNAL	399303.5142	38.9423885745	141609.9565	Moving_Violations_in_September_2010.csv	-77.0080362844
False	300368.0	25.0	150.0	2800 BLK NEW YORK AVE. NE E/B	1730410			1482194		2010-12-04T00:00:00.000Z	Photo	150.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	402915.72	38.9176546129	138864.78	Moving_Violations_in_December_2010.csv	-76.9663809737
False	288753.0	25.0	50.0	600 BLK NEW YORK AVENUE NE W/B	924812			661754	14658.0	2009-10-24T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400381.05	38.9123322866	138273.43	Moving_Violations_in_October_2009.csv	-76.995608706
False	805186.0	25.0	100.0	1200 BLK MT OLIVET RD NE NW/B	343529			4056413	4451.0	2015-10-12T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401427.16	38.9096887939	137980.1	Moving_Violations_in_October_2015.csv	-76.9835474701
	801449.0			1400 BLOCK PENNSYLVANIA AVE NW NORT	1601329			1384766	1067.0	2014-07-24T00:00:00.000Z			P322	PARK OVERTIME IN TIMED ZONE	397154.0	38.895514299	136407.0	Moving_Violations_in_July_2014.csv	-77.0328094644
False	804285.0	25.0	125.0	1400 BLK NEW YORK AVE NE NE/B	3640240			2692821	3696.0	2012-10-08T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401441.33	38.9162561202	138709.13	Moving_Violations_in_October_2011.csv	-76.9833825635
False	805065.0	25.0	150.0	2200 BLOCK K ST NW E/B	357015			3612291	4361.0	2015-05-02T00:00:00.000Z	Photo	150.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_May_2015.csv	-77.0499797097
False	803455.0	25.0	150.0	UNIT BLK IRVING ST NW E/B	1689252			3893767	2931.0	2015-08-16T00:00:00.000Z	Photo	150.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	399171.83	38.9312316233	140371.45	Moving_Violations_in_August_2015.csv	-77.0095537727
False	800638.0	25.0		1900 BLK BRANCH AVE SE N/B	2951108			1684764	675.0	2011-09-30T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403477.897953	38.8668720932	133227.748409	Moving_Violations_in_September_2011.csv	-76.9599270048
False	810860.0	25.0	125.0	CANAL RD NW .3 M S/O AZ AVE S/B	745524			2061916	9309.0	2012-04-03T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	391088.6001	38.9216385052	139311.5049	Moving_Violations_in_April_2012.csv	-77.102765836
False	802257.0	16.0	500.0	1800 ADAM MILL RD NW	1898103	500.0		2105139	1874.0	2012-04-20T00:00:00.000Z	No Ticket Type	0.0	T605	UNLICENSED VEHICLE NON-DC RESIDENT	396284.01	38.9230167693	139460.36	Moving_Violations_in_April_2012.csv	-77.0428547713
False	805065.0	25.0	100.0	2200 BLOCK K ST NW E/B	3456786			3945661	4361.0	2015-09-05T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_September_2015.csv	-77.0499797097
False	903866.0	25.0	150.0	16TH ST S/B @ COLORADO AVE NW	2869709			3463990	2131.0	2015-02-17T00:00:00.000Z	Photo	150.0	T113	FAIL TO STOP PER REGULATIONS FACING RED SIGNAL	396843.557723	38.9525425956	142737.74301	Moving_Violations_in_February_2015.csv	-77.0364171924
	810821.0			500 BLOCK H ST NE NORTH SIDE	8145955			1312547	9275.0	2014-07-17T00:00:00.000Z			P418	STREETCAR-PARK, STOP STAND VEH GUIDEWAY/PLATFORM	399997.0	38.9002122646	136928.0	Moving_Violations_in_July_2014.csv	-77.0000368682
False		25.0	125.0	DC295 NE AT BENNING RD EXIT N/B	453734	125.0		2104989	5134.0	2012-04-20T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	404307.5	38.8971950819	136594.24	Moving_Violations_in_April_2012.csv	-76.9503465327
False	903793.0	25.0	150.0	CONNECTICUT AVE N/B @ CALVERT ST NW	1457562			1463123	4982.0	2010-11-22T00:00:00.000Z	Photo	150.0	T113	FAIL TO STOP PER REGULATIONS FACING RED SIGNAL	395532.999994	38.9235372864	139518.530015	Moving_Violations_in_November_2010.csv	-77.0515157328
False	802681.0	25.0	125.0	100 BLK FLORIDA AVE NW E/B	723004	125.0		1814980	2059.0	2012-01-12T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398895.59	38.9123664469	138277.29	Moving_Violations_in_January_2012.csv	-77.0127363459
False	904324.0	4.0	30.0	CRITTENDEN ST NW @ 9TH ST NW	3391916			984747	5955.0	2010-04-16T00:00:00.000Z	Moving	30.0	T333	FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE	397804.570012	38.9472364692	142148.390017	Moving_Violations_in_April_2010.csv	-77.0253284027
False		25.0	100.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	3750681			773808	14746.0	2009-12-17T00:00:00.000Z	Photo	100.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_December_2009.csv	-76.994976553
False		25.0	125.0	SUITLAND PK .3 MILES PRIOR TO FIRTH	819037			1111148	3557.0	2010-06-12T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400413.4347	38.8612877655	132607.0948	Moving_Violations_in_June_2010.csv	-76.9952387104
True	242349.0	2.0	100.0	900 23RD ST NW	3270792			3057400	6464.0	2014-05-07T00:00:00.000Z	Moving	0.0	T591	DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE	395607.66	38.9013267932	137052.94	Moving_Violations_in_May_2014.csv	-77.0506389808
False		25.0	100.0	SUITLAND PK .3 MILES PRIOR TO FIRTH	1815655			656740	3557.0	2009-10-22T00:00:00.000Z	Photo	100.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	400413.4347	38.8612877655	132607.0948	Moving_Violations_in_October_2009.csv	-76.9952387104
